id;ime;prezime;jmbg
1;Small Frozen Salad bypassing;time-frame Quality;Borders Borders Practical
2;methodical;Pakistan;parse
3;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;bandwidth Liaison
4;program Auto Loan Account Refined;infomediaries;Fantastic Fresh Salad
5;Steel Avon Visionary;exploit transition;User-centric Principal Pennsylvania
6;repurpose Sleek;mesh system Triple-buffered;Cotton
7;Advanced grow;Handmade Wooden Cheese Fresh;input Naira
8;Markets;Glen Refined;Mandatory Assistant
9;Strategist;Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial
10;Central African Republic;magenta heuristic;Credit Card Account Maryland Legacy
