id;ime;prezime;titula;fotografija;fotografija_content_type
1;mobile Fish;Home Loan Account Table Computer;Trace;../fake-data/blob/hipster.png;image/png
2;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;../fake-data/blob/hipster.png;image/png
3;Home Loan Account;web-readiness;Namibia;../fake-data/blob/hipster.png;image/png
4;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;../fake-data/blob/hipster.png;image/png
5;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;../fake-data/blob/hipster.png;image/png
6;infomediaries;Investment Account;Games Regional Digitized;../fake-data/blob/hipster.png;image/png
7;copy convergence;Mayotte;Industrial;../fake-data/blob/hipster.png;image/png
8;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;../fake-data/blob/hipster.png;image/png
9;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;../fake-data/blob/hipster.png;image/png
10;Small;deliverables reinvent 24 hour;overriding;../fake-data/blob/hipster.png;image/png
